,classification,vocab,pos,def
837,第一級,case,名詞,盒子;案件
838,第二級,cash,動詞,兌現
838,第二級,cash,名詞,現款
839,第六級,cashier,名詞,出納員
840,第五級,casino,名詞,賭場
841,第三級,cast,動詞,"投,擲"
841,第三級,cast,動詞,選派...扮演角色
841,第三級,cast,名詞,鑄型;模子;投;擲;拋
842,第二級,castle,名詞,城堡
843,第三級,casual,形容詞,非正式的;隨便的
844,第六級,casualty,名詞,傷亡人員
845,第一級,cat,名詞,貓
846,第四級,catalogue,動詞,"為...編目;登記,記載"
846,第四級,catalogue,名詞,"目錄;大學概況一覽;登記,記載"
847,第六級,catastrophe,名詞,大災難;慘敗
848,第一級,catch,動詞,接(球);捕獲
848,第一級,catch,名詞,"抓住,捕捉;接球;把手;圈套"
849,第四級,category,名詞,種類;類別
850,第六級,cater,動詞,承辦宴席;迎合
851,第六級,caterpillar,名詞,履帶牽引車
852,第五級,cathedral,名詞,大教堂
853,附　錄,Catholic,名詞,天主教徒
854,附　錄,Catholicism,名詞,天主教
855,第三級,cattle,名詞,"牛;牲口,家畜"
856,第二級,cause,動詞,"導致,使發生,引起"
856,第二級,cause,名詞,原因;理由
857,第五級,caution,動詞,警告;使小心
857,第五級,caution,名詞,小心;謹慎;警告
858,第五級,cautious,形容詞,十分小心的;謹慎的
859,第三級,cave,動詞,"塌落,倒坍"
859,第三級,cave,名詞,"洞穴,洞窟"
860,第六級,cavity,名詞,洞;(身體的)腔;(牙的)蛀洞
861,第四級,cease,動詞,"停止,終止"
861,第四級,cease,名詞,停息
862,第二級,ceiling,名詞,天花板
863,第一級,celebrate,動詞,慶祝
864,第四級,celebration,名詞,慶祝
865,第五級,celebrity,名詞,名人;名流
866,第六級,celery,名詞,芹菜
867,第二級,cell,名詞,單人牢房;細胞;蜂房的巢室;電池
868,第一級,cellphone,名詞,"手機,大哥大"
869,第六級,cellular,形容詞,細胞的
870,第六級,Celsius,名詞,攝氏溫度
871,第六級,cement,動詞,"黏緊,黏牢"
871,第六級,cement,名詞,水泥
872,第五級,cemetery,名詞,公墓;墓地
873,第六級,census,名詞,人口普查
874,第一級,cent,名詞,分(錢幣)
875,第一級,center,名詞,中心(點)
876,第二級,centimeter,名詞,公分
877,第二級,central,形容詞,中央的
878,第二級,century,名詞,一世紀
879,第六級,ceramic,形容詞,陶器的;製陶藝術的
879,第六級,ceramic,名詞,陶瓷;陶瓷製品
880,第二級,cereal,名詞,麥片
881,第五級,ceremony,名詞,"儀式,典禮"
882,第一級,certain,形容詞,肯定的
882,第一級,certain,代名詞,某幾個;某些
883,第五級,certainty,名詞,確實;必然
884,第五級,certificate,動詞,發證書給;用證書批准
884,第五級,certificate,名詞,證明書;執照
885,第六級,certify,動詞,證明;保證;發證書(或執照等)
886,第二級,chain,動詞,拘禁;束縛
886,第二級,chain,名詞,鏈條;項圈
887,第一級,chair,動詞,主持(會議);任(會議的)主席
887,第一級,chair,名詞,椅子
888,第六級,chairman,名詞,主席
889,第六級,chairperson,名詞,主席(沒有性別歧視的字眼)
890,第六級,chairwoman,名詞,女主席;女議長
891,第二級,chalk,動詞,使變白;畫出...的草圖;規劃;記下
891,第二級,chalk,名詞,粉筆
892,第二級,challenge,動詞,對...提出異議
892,第二級,challenge,名詞,挑戰;艱鉅的事
893,第四級,chamber,名詞,"室,房間;議院"
894,第六級,champagne,名詞,香檳酒;香檳酒色
895,第三級,champion,名詞,"優勝者,冠軍"
896,第四級,championship,名詞,冠軍的地位
897,第一級,chance,動詞,冒...的險;賭(錢)
897,第一級,chance,動詞,碰巧
897,第一級,chance,名詞,機會
898,第一級,change,動詞,改變;更改
898,第一級,change,名詞,零錢
899,第二級,channel,動詞,在...開水道;傳送
899,第二級,channel,名詞,管道;頻道
900,第六級,chant,動詞,反覆地唱(或說);吟誦
900,第六級,chant,名詞,詠唱;吟誦;單調的語調
901,第五級,chaos,名詞,混亂;雜亂的一團
902,第五級,chapel,名詞,小禮拜堂
903,第二級,chapter,名詞,"(書籍的)章,回"
904,第二級,character,名詞,特性;角色;(中文)字
905,第四級,characteristic,形容詞,"特有的,獨特的"
905,第四級,characteristic,名詞,"特性,特徵"
906,第五級,characterize,動詞,描繪...的特性;具有...的特徵
907,第二級,charge,動詞,索價;充電
907,第二級,charge,名詞,費用;充電
908,第六級,charitable,形容詞,慈善的;寬容的
909,第四級,charity,名詞,施捨;善舉
910,第三級,charm,動詞,使陶醉
910,第三級,charm,名詞,魅力
911,第二級,chart,名詞,圖表
912,第二級,chase,動詞,追
912,第二級,chase,名詞,追逐;追擊
913,第三級,chat,動詞,"閒談,聊天"
913,第三級,chat,名詞,"閒談,聊天"
914,第一級,cheap,形容詞,便宜的
914,第一級,cheap,副詞,便宜地;卑鄙地
915,第二級,cheat,動詞,欺騙;作弊
915,第二級,cheat,名詞,"騙子;欺詐,欺騙,作弊"
916,第一級,check,動詞,檢查
916,第一級,check,名詞,支票;買單
917,第六級,checkup,名詞,檢查;體檢
918,第三級,cheek,名詞,臉頰;腮幫子
919,第二級,cheer,動詞,向...歡呼
919,第二級,cheer,名詞,喝采;鼓勵
920,第三級,cheerful,形容詞,使人感到愉快的
921,第一級,cheese,名詞,起司;乳酪
922,第五級,chef,名詞,(餐館等的)主廚;大師傅
923,第二級,chemical,形容詞,化學的
923,第二級,chemical,名詞,化學製品;化學藥品
924,第六級,chemist,名詞,化學家
925,第四級,chemistry,名詞,化學
926,第四級,cherish,動詞,撫育;愛護
927,第三級,cherry,形容詞,櫻桃口味的;;鮮紅色的
927,第三級,cherry,名詞,櫻桃
928,第二級,chess,名詞,西洋棋
929,第三級,chest,名詞,"胸;箱子,盒子"
930,第六級,chestnut,形容詞,栗色的
930,第六級,chestnut,名詞,栗子;栗樹;栗色
931,第四級,chew,動詞,咀嚼
931,第四級,chew,名詞,咀嚼
932,第一級,chicken,名詞,雞;雞肉
933,第二級,chief,形容詞,為首的;主要的
933,第二級,chief,名詞,首領;長官
934,第一級,child,名詞,小孩
935,第二級,childhood,名詞,幼時
936,第二級,childish,形容詞,幼稚的
937,第六級,chili,名詞,紅番椒
938,第三級,chill,形容詞,涼颼颼的
938,第三級,chill,動詞,"使變冷;使打寒顫;使掃興,使沮喪"
938,第三級,chill,名詞,"寒冷,寒氣"
939,第三級,chilly,形容詞,冷颼颼的
940,第三級,chimney,名詞,煙囪
941,第六級,chimpanzee,名詞,黑猩猩
942,第三級,chin,名詞,下巴
943,第二級,China,名詞,中國
944,第三級,chip,動詞,"削,鑿,鏟"
944,第三級,chip,名詞,晶片;屑片;炸洋芋片;籌碼
945,第六級,chirp,動詞,鳥發啾聲;蟲發唧聲;人嘁喳說話
945,第六級,chirp,名詞,啁啾聲;唧唧聲
946,第一級,chocolate,名詞,巧克力
947,第一級,choice,形容詞,"上等的,精選的;挑三揀四的"
947,第一級,choice,名詞,選擇
948,第五級,choir,名詞,(教堂的)唱詩班;合唱團
949,第四級,choke,動詞,使窒息;哽住
949,第四級,choke,名詞,"窒息,噎"
950,第六級,cholesterol,名詞,膽固醇
951,第一級,choose,動詞,選擇;挑選
952,第三級,chop,動詞,"砍,劈,斬"
952,第三級,chop,名詞,肋骨肉
953,第二級,chopstick,名詞,筷子
954,第五級,chord,名詞,(樂器的)弦;心弦;弦桿;和音
955,第五級,chore,名詞,家庭雜務
956,第四級,chorus,名詞,合唱隊
957,附　錄,Christian,名詞,基督教徒
958,附　錄,Christianity,名詞,基督教
959,第五級,chronic,形容詞,(病)慢性的;(人)久病的;長期的
960,第五級,chubby,形容詞,圓胖的
961,第五級,chunk,名詞,(肉、木材等的)大塊;厚片
962,第一級,church,名詞,教堂
963,第六級,cigar,名詞,雪茄煙
964,第三級,cigarette,名詞,"香煙,紙煙"
965,第三級,cinema,名詞,電影院;電影;電影業
966,第一級,circle,動詞,畫圓圈;圈出;盤旋;流傳
966,第一級,circle,名詞,圓圈;集團
967,第五級,circuit,名詞,環道;一圈;巡迴路線;電路
968,第四級,circular,形容詞,圓形的;環形的
969,第四級,circulate,動詞,流通;發行
970,第四級,circulation,名詞,發行量
971,第四級,circumstance,名詞,境況;境遇
972,第三級,circus,名詞,馬戲團
973,第五級,cite,動詞,引用;舉出;表揚
974,第三級,citizen,名詞,市民;公民
975,第五級,citizenship,名詞,公民權；公民身分
976,第一級,city,名詞,都市
977,第五級,civic,形容詞,城市的;市民的
978,第三級,civil,形容詞,"市民的,國民的"
979,第四級,civilian,形容詞,百姓的;民用的
979,第四級,civilian,名詞,"平民,百姓"
980,第四級,civilization,名詞,文明
981,第六級,civilize,動詞,"使文明,使開化"
982,第二級,claim,動詞,聲稱；認領；索取
982,第二級,claim,名詞,"主張,斷言"
983,第六級,clam,名詞,蛤;蚌;守口如瓶的人
984,第二級,clap,動詞,拍(手);鼓(掌)
984,第二級,clap,名詞,拍手喝采(聲);霹靂聲;輕拍
985,第四級,clarify,動詞,澄清;闡明
986,第五級,clarity,名詞,(思想、文體等的)清楚;明晰
987,第四級,clash,動詞,砰地相碰撞
987,第四級,clash,名詞,"碰撞聲,鏗鏘聲"
988,第六級,clasp,動詞,扣住;鉤住;緊抱;緊握
988,第六級,clasp,名詞,扣子;鉤子;夾子;緊握;緊抱
989,第一級,class,動詞,把...分類;把...分等級
989,第一級,class,名詞,階級;班級;上課
990,第二級,classic,形容詞,典型的;古典的
990,第二級,classic,名詞,古典著作
991,第二級,classical,形容詞,古典的
992,第四級,classification,名詞,分類;分級
993,第四級,classify,動詞,將...分類
994,第二級,classmate,名詞,同班同學
995,第五級,clause,名詞,(文件的)條款;子句
996,第四級,claw,動詞,用爪子抓
996,第四級,claw,名詞,"(動物的)爪,腳爪;(蟹,蝦等的)鉗,螯"
997,第三級,clay,名詞,黏土
998,第一級,clean,形容詞,乾淨的
998,第一級,clean,動詞,打掃
998,第一級,clean,副詞,"完全地,全然地;乾淨地"
998,第一級,clean,名詞,打掃;去垢
999,第三級,cleaner,名詞,清潔工;乾洗店;吸塵器;清潔劑
1000,第一級,clear,形容詞,清楚的;晴朗的
1000,第一級,clear,動詞,使乾淨;收拾;交換票據
1000,第一級,clear,副詞,"清晰地,明瞭地"
1001,第六級,clearance,名詞,清掃;出空;清倉大拍賣
1002,第一級,clerk,名詞,店員;辦事員;職員
1003,第二級,clever,形容詞,聰明伶俐的
1004,第二級,click,動詞,發出卡嗒(或喀嚓)聲
1004,第二級,click,名詞,卡嗒聲
1005,第三級,client,名詞,"顧客,客戶"
1006,第四級,cliff,名詞,"懸崖,峭壁"
1007,第二級,climate,名詞,氣候
1008,第六級,climax,動詞,使達到頂點(或高潮)
1008,第六級,climax,名詞,"頂點,最高點"
1009,第一級,climb,動詞,爬;攀登
1009,第一級,climb,名詞,"攀登,攀爬"
1010,第五級,cling,動詞,黏著;依附;墨守
1011,第三級,clinic,名詞,"診所,門診所"
1012,第五級,clinical,形容詞,臨床的;診所的
1013,第三級,clip,動詞,剪;修剪;剪短;剪除
1013,第三級,clip,名詞,夾;鉗;迴紋針
1014,第一級,clock,名詞,鐘
1015,第六級,clockwise,形容詞,順時針方向的;右旋的
1015,第六級,clockwise,副詞,順時針方向地;右旋地
1016,第六級,clone,動詞,複製
1016,第六級,clone,名詞,無性繁殖系;複製品
1017,第一級,close,形容詞,近的;密切的
1017,第一級,close,動詞,關上
1017,第一級,close,副詞,"接近,靠近地;緊密地,緊緊地"
1017,第一級,close,名詞,"結束,終止;(金融)收盤價"
1018,第三級,closet,名詞,壁櫥;衣櫥
1019,第六級,closure,名詞,關閉;打烊;結束;終止
1020,第二級,cloth,名詞,"布;(棉,毛,合成纖維等)織物;衣料"
1021,第三級,clothe,動詞,給...穿衣;為...提供衣服
1022,第一級,clothes,名詞,衣服
1023,第二級,clothing,名詞,"(總稱)衣服,衣著"
1024,第一級,cloud,名詞,雲
1025,第二級,cloudy,形容詞,多雲的;陰天的
1026,第三級,clown,動詞,開玩笑;裝傻
1026,第三級,clown,名詞,"小丑,丑角"
1027,第一級,club,動詞,募集;捐獻;集資;聯合起來
1027,第一級,club,名詞,俱樂部;夜總會;社團
1028,第三級,clue,名詞,"線索,跡象,提示"
1029,第四級,clumsy,形容詞,笨拙的
1030,第五級,cluster,動詞,使成簇(或群);叢生
1030,第五級,cluster,名詞,串;簇;群
1031,第三級,coach,動詞,"訓練,指導,輔導;乘馬車旅行"
1031,第三級,coach,名詞,教練
1032,第二級,coal,名詞,煤
1033,第六級,coalition,名詞,結合;聯合;聯盟
1034,第四級,coarse,形容詞,"粗的,粗糙的"
1035,第二級,coast,名詞,海岸
1036,第六級,coastline,名詞,海岸線
1037,第一級,coat,動詞,塗在...上;給...穿上外套
1037,第一級,coat,名詞,外套
1038,第五級,cocaine,名詞,古柯鹼
1039,第三級,cock,名詞,公雞
1040,第二級,cockroach,名詞,蟑螂
1041,第三級,cocktail,名詞,雞尾酒
1042,第二級,cocoa,名詞,可可粉;可可樹;可可色
1043,第三級,coconut,名詞,椰子;椰子肉
1044,第四級,code,動詞,為...編碼
1044,第四級,code,名詞,法規;代碼;電碼
1045,第一級,coffee,名詞,咖啡
1046,第五級,coffin,名詞,棺材;靈柩
1047,第五級,cognitive,形容詞,感知的；認識力的
1048,第五級,coherent,形容詞,一致的;條理清楚的;連貫的
1049,第二級,coin,動詞,"鑄造(貨幣);創造,杜撰(新詞等)"
1049,第二級,coin,名詞,硬幣
1050,第五級,coincidence,名詞,巧合
1051,第二級,Coke,名詞,可口可樂
1052,第二級,cola,名詞,可樂
1053,第一級,cold,形容詞,寒冷的
1053,第一級,cold,名詞,感冒
1054,第五級,collaboration,名詞,合作;共同研究
1055,第四級,collapse,動詞,倒塌
1055,第四級,collapse,名詞,倒塌
1056,第三級,collar,名詞,衣領
1057,第四級,colleague,名詞,"同事,同僚"
1058,第一級,collect,動詞,收集
1059,第三級,collection,名詞,收集
1060,第五級,collective,形容詞,集體的;共同的
1060,第五級,collective,名詞,集體農場(或企業);集團
1061,第五級,collector,名詞,收集者;收藏家
1062,第二級,college,名詞,學院;大學
1063,第六級,collision,名詞,相撞;衝突;抵觸
1064,第六級,colloquial,形容詞,口語的;會話的
1065,第五級,colonial,形容詞,殖民地的;殖民的
1065,第五級,colonial,名詞,殖民地居民
1066,第三級,colony,名詞,殖民地
1067,第一級,color,動詞,著色;渲染;文飾;歪曲;影響
1067,第一級,color,名詞,顏色
1068,第三級,colorful,形容詞,富有色彩的
1069,第三級,column,名詞,"(報紙的)欄,段;行"
1070,第五級,columnist,名詞,專欄作家
1071,第二級,comb,動詞,用梳子梳理
1071,第二級,comb,名詞,梳子
1072,第五級,combat,動詞,戰鬥;搏鬥;反對
1072,第五級,combat,名詞,戰鬥;格鬥;反對
1073,第四級,combination,名詞,組合
1074,第二級,combine,動詞,使結合
1075,第一級,come,動詞,到來
1076,第五級,comedian,名詞,喜劇演員
1077,第四級,comedy,名詞,喜劇
1078,第六級,comet,名詞,彗星
1079,第三級,comfort,動詞,"安慰,慰問"
1079,第三級,comfort,名詞,"安逸,舒適"
1080,第一級,comfortable,形容詞,舒適的
1081,第二級,comic,形容詞,滑稽的；有趣的
1081,第二級,comic,名詞,漫畫雜誌；喜劇演員
1082,第三級,comma,名詞,逗號;停頓
1083,第二級,command,動詞,命令;掌握
1083,第二級,command,動詞,指揮;控制
1083,第二級,command,名詞,命令
1084,第四級,commander,名詞,"指揮官,司令官"
1085,第四級,comment,動詞,評論
1085,第四級,comment,名詞,評論
1086,第五級,commentary,名詞,評論;註釋
1087,第五級,commentator,名詞,(電臺、電視臺等)時事評論者
1088,第四級,commerce,名詞,"商業,貿易,交易"
1089,第二級,commercial,形容詞,商業的;商務的
1089,第二級,commercial,名詞,商業廣告
1090,第五級,commission,動詞,"委任,委託"
1090,第五級,commission,名詞,佣金
1091,第四級,commit,動詞,"使作出保證;犯(罪),做(錯事等)"
1092,第五級,commitment,名詞,"託付,交託"
1092,第五級,commitment,名詞,"承諾, 保證"
1093,第三級,committee,名詞,委員會
1094,第五級,commodity,名詞,商品;日用品
1095,第一級,common,形容詞,常見的;尋常的;普遍的
1095,第一級,common,名詞,有相同（興趣、經歷）
1095,第一級,common,名詞,"公共用地,公有地"
1096,第六級,commonplace,形容詞,平凡的;普通的
1096,第六級,commonplace,名詞,司空見慣的事;老生常談
1097,第六級,commonwealth,名詞,共和國;全體國民;團體
1098,第三級,communicate,動詞,傳達;傳遞
1099,第四級,communication,名詞,交往;通信
1100,第六級,communicative,形容詞,愛說話的;交際的
1101,第五級,communism,名詞,共產主義
1102,第五級,communist,形容詞,共產主義的
1102,第五級,communist,名詞,共產主義者
1103,第四級,community,名詞,社區
1104,第五級,commute,動詞,減刑;通勤
1105,第五級,commuter,名詞,通勤者
1106,第五級,compact,形容詞,緊密的;結實的;小型的
1106,第五級,compact,動詞,使緊密;壓緊;使簡潔
1106,第五級,compact,名詞,連鏡小粉盒;小型轎車
1107,第四級,companion,名詞,"同伴,伴侶"
1108,第二級,company,名詞,公司
1109,第五級,comparable,形容詞,可比較的;比得上的
1110,第六級,comparative,形容詞,比較的;相對的
1111,第二級,compare,動詞,比較
1112,第三級,comparison,名詞,"比較,對照"
1113,第六級,compass,動詞,"圖謀,計劃;包圍;達到;理解"
1113,第六級,compass,名詞,羅盤;指南針;圓規
1114,第五級,compassion,名詞,憐憫;同情
1115,第五級,compassionate,形容詞,有同情心的;慈悲的
1116,第五級,compatible,形容詞,能共處的;可並立的;相容的
1117,第五級,compel,動詞,強迫;強求
1118,第五級,compensate,動詞,補償;賠償;酬報
1119,第五級,compensation,名詞,補償;賠償;報酬
1120,第三級,compete,動詞,競爭;對抗
1121,第五級,competence,名詞,能力;勝任;稱職
1122,第五級,competent,形容詞,有能力的;能幹的;能勝任的
1123,第四級,competition,名詞,"競爭,角逐"
1124,第四級,competitive,形容詞,競爭的
1125,第四級,competitor,名詞,競爭者;對手
1126,第六級,compile,動詞,匯編;收集(資料等);編譯(程式)
1127,第三級,complain,動詞,抱怨
1128,第三級,complaint,名詞,抱怨;抗議;怨言
1129,第六級,complement,動詞,補充;補足;與...相配
1129,第六級,complement,名詞,補充物;補足物
1130,第二級,complete,形容詞,完整的；徹底的
1130,第二級,complete,動詞,完成
1131,第二級,complex,形容詞,複雜的
1131,第二級,complex,名詞,複合物
1132,第六級,complexion,名詞,面色;膚色
1133,第五級,complexity,名詞,複雜(性);錯綜(性)
1134,第五級,compliance,名詞,服從；遵守
1135,第四級,complicate,動詞,使複雜化
1136,第五級,complication,名詞,複雜(化);併發症;(新出現的)困難
1137,第五級,compliment,動詞,讚美;恭維
1137,第五級,compliment,名詞,恭維;問候;致意
1138,第五級,comply,動詞,(對要求、命令等)依從;順從
1139,第五級,component,形容詞,組成的;構成的
1139,第五級,component,名詞,構成要素;零件;成分
1140,第四級,compose,動詞,"作(詩,曲等);構(圖)"
1141,第四級,composer,名詞,作曲家
1142,第四級,composition,名詞,寫作;作曲;作品;作文
1143,第五級,compound,形容詞,"合成的,複合的"
1143,第五級,compound,動詞,使惡化;使混合;使合成;以複利計算
1143,第五級,compound,動詞,妥協
1143,第五級,compound,名詞,混合物
1144,第五級,comprehend,動詞,理解;領會;包含
1145,第五級,comprehension,名詞,理解;理解力
1146,第六級,comprehensive,形容詞,廣泛的;綜合的
1147,第五級,comprise,動詞,包括;由...組成
1148,第五級,compromise,動詞,妥協;危及;洩露(祕密等)
1148,第五級,compromise,名詞,妥協;危及;(原則等的)放棄
1149,第五級,compulsory,形容詞,必須做的;義務的;必修的
1150,第六級,compute,動詞,計算;估算;推斷
1151,第一級,computer,名詞,電腦
1152,第六級,computerize,動詞,使電腦化;用電腦處理
1153,第六級,comrade,名詞,夥伴;同事;(共產黨的)同志
1154,第五級,conceal,動詞,"隱蔽,隱藏"
1155,第五級,concede,動詞,(勉強)承認;讓步;承認失敗
1156,第五級,conceive,動詞,構想出;設想;懷孕
1157,第四級,concentrate,動詞,濃縮;全神貫注
1158,第四級,concentration,名詞,專心;濃縮
1159,第四級,concept,名詞,"概念,觀念"
1160,第五級,conception,名詞,概念;創始
1161,第二級,concern,動詞,使擔心
1161,第二級,concern,名詞,關懷
1162,第四級,concerning,介系詞,關於
1163,第三級,concert,名詞,"音樂會,演奏會"
1164,第六級,concession,名詞,讓步;讓予物
1165,第六級,concise,形容詞,簡明的
1166,第二級,conclude,動詞,"推斷出,斷定"
1167,第三級,conclusion,名詞,結論;推論
1168,第四級,concrete,形容詞,具體的
1168,第四級,concrete,動詞,使凝固;使結合
1168,第四級,concrete,名詞,混凝土
1169,第五級,condemn,動詞,責備;譴責;判刑
1170,第六級,condense,動詞,濃縮;縮短;凝結
1171,第二級,condition,動詞,決定;為...的條件
1171,第二級,condition,名詞,情況;條件
1172,第五級,conduct,動詞,"引導,帶領;實施"
1172,第五級,conduct,名詞,"行為,品行,舉動"
1173,第四級,conductor,名詞,指揮
1174,第三級,cone,名詞,圓錐體;圓錐形
1175,第六級,confederation,名詞,同盟;聯盟
1176,第四級,conference,名詞,"(正式)會議;討論會,協商會"
1177,第四級,confess,動詞,"坦白,供認,承認"
1178,第五級,confession,名詞,承認;供認;告解
1179,第四級,confidence,名詞,"自信,信心,把握"
1180,第二級,confident,形容詞,有信心的
1181,第五級,confidential,形容詞,祕密的;機密的
1182,第五級,confine,動詞,限制;使局限
1183,第三級,confirm,動詞,確認
1184,第二級,conflict,動詞,"矛盾,衝突"
1184,第二級,conflict,名詞,"抵觸,不一致"
1185,第五級,conform,動詞,遵照;符合;使一致
1186,第五級,confront,動詞,面臨;遭遇
1187,第五級,confrontation,名詞,對抗
1188,第三級,confuse,動詞,使迷惑
1189,第四級,confusion,名詞,困惑;慌亂
1190,第四級,congratulate,動詞,祝賀;恭禧
1191,第二級,congratulation,名詞,祝賀
1192,第四級,congress,名詞,立法機關
1193,第六級,congressman,名詞,美國眾議院議員
1194,第六級,congresswoman,名詞,國會女議員;女眾議員
1195,附　錄,conj.,縮寫,連接詞（conjunction 的縮寫）
1196,附　錄,conjunction,名詞,連接詞;結合;關聯
1197,第三級,connect,動詞,"連接,連結"
1198,第二級,connection,名詞,連接;聯絡;銜接
1199,第四級,conquer,動詞,克服;征服
1200,第六級,conquest,名詞,征服;克服;佔領
1201,第四級,conscience,名詞,良心;道義心
1202,第六級,conscientious,形容詞,憑良心的;誠實的;認真的
1203,第三級,conscious,形容詞,"神志清醒的,有知覺的"
1204,第五級,consecutive,形容詞,連續不斷的;連貫的
1205,第五級,consensus,名詞,一致;合意;輿論
1206,第五級,consent,動詞,同意;贊成
1206,第五級,consent,名詞,同意;贊成
1207,第四級,consequence,名詞,"結果,後果"
1208,第四級,consequent,形容詞,隨之發生的
1209,第五級,conservation,名詞,保存;(對自然資源的)保護
1210,第四級,conservative,形容詞,"保守的,守舊的"
1210,第四級,conservative,名詞,"保守者,守舊者"
1211,第六級,conserve,動詞,保存;保護;節省
1211,第六級,conserve,名詞,"糖漬食品,蜜餞;果醬"
1212,第二級,consider,動詞,考慮
1213,第三級,considerable,形容詞,相當大的;相當多的
1214,第五級,considerate,形容詞,體諒的
1215,第二級,consideration,名詞,考慮
1216,第四級,consist,動詞,"組成,構成"
1217,第四級,consistent,形容詞,"始終如一的,前後一致的"
1218,第六級,consolation,名詞,安慰;慰藉
1219,第六級,console,動詞,安慰;慰問
1219,第六級,console,名詞,操縱臺
1220,第六級,consonant,名詞,子音
1221,第六級,conspiracy,名詞,陰謀;謀叛;共謀
1222,第三級,constant,形容詞,"固定的,不變的"
1222,第三級,constant,名詞,"常數,衡量;不變的事物"
1223,第四級,constitute,動詞,"構成,組成"
1224,第四級,constitution,名詞,"憲法;章程,法規"
1225,第五級,constitutional,形容詞,憲法的;生來的
1225,第五級,constitutional,名詞,保健散步;保健運動
1226,第五級,constraint,名詞,約束;限制;強迫
1227,第四級,construct,動詞,"建造,構成"
1228,第四級,construction,名詞,"建造,建設"
1229,第四級,constructive,形容詞,建設性的;積極的;有助益的
1230,第四級,consult,動詞,與...商量
1231,第四級,consultant,名詞,顧問
1232,第五級,consultation,名詞,諮詢;商議
1233,第四級,consume,動詞,"消耗,花費;耗盡"
1234,第四級,consumer,名詞,消費者;消耗者
1235,第五級,consumption,名詞,消耗;用盡;消耗量
1236,第二級,contact,動詞,接觸;聯繫
1236,第二級,contact,名詞,接觸;隱形眼鏡
1237,第五級,contagious,形容詞,接觸傳染的;(感情等)感染性的
1238,第二級,contain,動詞,包含;容納
1239,第四級,container,名詞,容器
1240,第五級,contaminate,動詞,弄髒;污染
1241,第五級,contemplate,動詞,凝視;思忖;仔細考慮
1242,第五級,contemporary,形容詞,當代的
1242,第五級,contemporary,名詞,同時代的人;同年齡的人;同時期的東西
1243,第五級,contempt,名詞,輕視;(對法庭等的)藐視
1244,第五級,contend,動詞,爭取;競爭;搏鬥;聲稱
1245,第四級,content,形容詞,滿意的;甘願的
1245,第四級,content,動詞,使滿足
1245,第四級,content,名詞,"內容,要旨"
1246,第六級,contention,名詞,主張;爭論;論點
1247,第四級,contentment,名詞,知足;滿意
1248,第四級,contest,動詞,"競爭,角逐;爭辯"
1248,第四級,contest,名詞,"爭奪,競爭"
1249,第六級,contestant,名詞,參加競賽者;角逐者
1250,第四級,context,名詞,上下文;文章脈絡
1251,第三級,continent,名詞,"大陸,陸地;大洲"
1252,第五級,continental,形容詞,洲的;大陸的
1253,第四級,continual,形容詞,"不間斷的,連續的"
1254,第二級,continue,動詞,繼續
1255,第六級,continuity,名詞,連續性;一貫性
1256,第四級,continuous,形容詞,"連續的,不斷的"
1257,第二級,contract,動詞,締結;訂契約;承包;收縮
1257,第二級,contract,名詞,契約；合同
1258,第五級,contractor,名詞,承包商;立契約者
1259,第六級,contradict,動詞,否定(陳述等);反駁;與...矛盾
1260,第五級,contradiction,名詞,矛盾;否認;反駁
1261,第四級,contrary,形容詞,"相反的,對立的"
1261,第四級,contrary,名詞,相反;反面;對立的一方
1262,第四級,contrast,動詞,"使對比,使對照"
1262,第四級,contrast,名詞,"對比,對照"
1263,第四級,contribute,動詞,"捐獻,捐助;貢獻,出力"
1264,第四級,contribution,名詞,貢獻
1265,第二級,control,動詞,控制
1265,第二級,control,名詞,支配;控制;操縱裝置;指揮部
1266,第三級,controller,名詞,主計官;主管;控制器
1267,第五級,controversial,形容詞,有爭議的;好議論的
1268,第五級,controversy,名詞,爭論;爭議
1269,第六級,convene,動詞,集會;聚集
1270,第四級,convenience,名詞,方便;合宜
1271,第一級,convenient,形容詞,方便的
1272,第四級,convention,名詞,"會議,大會"
1273,第四級,conventional,形容詞,"習慣的,慣例的"
1274,第二級,conversation,名詞,會話
1275,第四級,converse,動詞,"交談,談話"
1276,第五級,conversion,名詞,改造;轉變;變換;改變信仰
1277,第五級,convert,動詞,轉變;變換;改變信仰
1278,第四級,convey,動詞,運送;傳達
1279,第五級,convict,動詞,證明...有罪;判...有罪
1279,第五級,convict,名詞,(服刑的)囚犯
1280,第五級,conviction,名詞,定罪;證明有罪;確信
1281,第四級,convince,動詞,使信服;說服
1282,第一級,cook,動詞,煮
1282,第一級,cook,名詞,廚師
1283,第三級,cooker,名詞,"炊具,烹調器具"
1284,第一級,cookie,名詞,餅乾
1285,第一級,cool,形容詞,涼快的;很棒的;酷
1285,第一級,cool,動詞,使涼快;使冷卻
1285,第一級,cool,名詞,涼爽
1286,第四級,cooperate,動詞,"合作,協作;(事物)配合"
1287,第四級,cooperation,名詞,合作;協力
1288,第四級,cooperative,形容詞,合作的;合作社的
1288,第四級,cooperative,名詞,合作社;合作商店
1289,第五級,coordinate,形容詞,同等重要的;座標的;對等的
1289,第五級,coordinate,動詞,"協調,調節"
1289,第五級,coordinate,動詞,協調一致
1289,第五級,coordinate,名詞,同等的人(或物);座標
1290,第二級,cop,名詞,警察
